"package","type","subtypes","name","signature","ext","input","kind","provenance"
"android.app","Activity",true,"bindService","","","Argument[0]","intent-redirection","manual"
"android.app","Activity",true,"bindServiceAsUser","","","Argument[0]","intent-redirection","manual"
"android.app","Activity",true,"setResult","(int,Intent)","","Argument[1]","pending-intents","manual"
"android.app","Activity",true,"startActivityAsCaller","","","Argument[0]","intent-redirection","manual"
"android.app","Activity",true,"startActivityForResult","(Intent,int)","","Argument[0]","intent-redirection","manual"
"android.app","Activity",true,"startActivityForResult","(Intent,int,Bundle)","","Argument[0]","intent-redirection","manual"
"android.app","Activity",true,"startActivityForResult","(String,Intent,int,Bundle)","","Argument[1]","intent-redirection","manual"
"android.app","Activity",true,"startActivityForResultAsUser","","","Argument[0]","intent-redirection","manual"
"android.app","AlarmManager",true,"set","(int,long,PendingIntent)","","Argument[2]","pending-intents","manual"
"android.app","AlarmManager",true,"setAlarmClock","","","Argument[1]","pending-intents","manual"
"android.app","AlarmManager",true,"setAndAllowWhileIdle","","","Argument[2]","pending-intents","manual"
"android.app","AlarmManager",true,"setExact","(int,long,PendingIntent)","","Argument[2]","pending-intents","manual"
"android.app","AlarmManager",true,"setExactAndAllowWhileIdle","","","Argument[2]","pending-intents","manual"
"android.app","AlarmManager",true,"setInexactRepeating","","","Argument[3]","pending-intents","manual"
"android.app","AlarmManager",true,"setRepeating","","","Argument[3]","pending-intents","manual"
"android.app","AlarmManager",true,"setWindow","(int,long,long,PendingIntent)","","Argument[3]","pending-intents","manual"
"android.app","FragmentTransaction",true,"add","(Class,Bundle,String)","","Argument[0]","fragment-injection","manual"
"android.app","FragmentTransaction",true,"add","(Fragment,String)","","Argument[0]","fragment-injection","manual"
"android.app","FragmentTransaction",true,"add","(int,Class,Bundle)","","Argument[1]","fragment-injection","manual"
"android.app","FragmentTransaction",true,"add","(int,Class,Bundle,String)","","Argument[1]","fragment-injection","manual"
"android.app","FragmentTransaction",true,"add","(int,Fragment)","","Argument[1]","fragment-injection","manual"
"android.app","FragmentTransaction",true,"add","(int,Fragment,String)","","Argument[1]","fragment-injection","manual"
"android.app","FragmentTransaction",true,"attach","(Fragment)","","Argument[0]","fragment-injection","manual"
"android.app","FragmentTransaction",true,"replace","(int,Class,Bundle)","","Argument[1]","fragment-injection","manual"
"android.app","FragmentTransaction",true,"replace","(int,Class,Bundle,String)","","Argument[1]","fragment-injection","manual"
"android.app","FragmentTransaction",true,"replace","(int,Fragment)","","Argument[1]","fragment-injection","manual"
"android.app","FragmentTransaction",true,"replace","(int,Fragment,String)","","Argument[1]","fragment-injection","manual"
"android.app","Notification$Action",true,"Action","(int,CharSequence,PendingIntent)","","Argument[1]","notification","manual"
"android.app","Notification$Action$Builder",true,"Builder","(Icon,CharSequence,PendingIntent)","","Argument[1]","notification","manual"
"android.app","Notification$Action$Builder",true,"Builder","(int,CharSequence,PendingIntent)","","Argument[1]","notification","manual"
"android.app","Notification$Action$Builder",true,"addExtras","(Bundle)","","Argument[0]","notification","manual"
"android.app","Notification$BigPictureStyle",true,"setBigContentTitle","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$BigPictureStyle",true,"setContentDescription","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$BigPictureStyle",true,"setSummaryText","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$BigTextStyle",true,"bigText","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$BigTextStyle",true,"setBigContentTitle","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$BigTextStyle",true,"setSummaryText","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"addAction","(int,CharSequence,PendingIntent)","","Argument[1]","notification","manual"
"android.app","Notification$Builder",true,"addExtras","(Bundle)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setCategory","(String)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setChannelId","(String)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setContent","(RemoteViews)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setContentInfo","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setContentText","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setContentTitle","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setCustomBigContentView","(RemoteViews)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setCustomContentView","(RemoteViews)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setCustomHeadsUpContentView","(RemoteViews)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setExtras","(Bundle)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setGroup","(String)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setRemoteInputHistory","(CharSequence[])","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setSettingsText","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setSortKey","(String)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setSubText","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setTicker","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$Builder",true,"setTicker","(CharSequence,RemoteViews)","","Argument[0..1]","notification","manual"
"android.app","Notification$CallStyle",true,"setVerificationText","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$InboxStyle",true,"addLine","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$InboxStyle",true,"setBigContentTitle","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$InboxStyle",true,"setSummaryText","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$MediaStyle",true,"setRemotePlaybackInfo","(CharSequence,int,PendingIntent)","","Argument[0]","notification","manual"
"android.app","Notification$MessagingStyle",true,"MessagingStyle","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$MessagingStyle",true,"addMessage","(CharSequence,long,CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$MessagingStyle",true,"addMessage","(CharSequence,long,CharSequence)","","Argument[2]","notification","manual"
"android.app","Notification$MessagingStyle",true,"addMessage","(CharSequence,long,Person)","","Argument[0]","notification","manual"
"android.app","Notification$MessagingStyle",true,"setConversationTitle","(CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$MessagingStyle$Message",true,"Message","(CharSequence,long,CharSequence)","","Argument[0]","notification","manual"
"android.app","Notification$MessagingStyle$Message",true,"Message","(CharSequence,long,CharSequence)","","Argument[2]","notification","manual"
"android.app","Notification$MessagingStyle$Message",true,"Message","(CharSequence,long,Person)","","Argument[0]","notification","manual"
"android.app","NotificationManager",true,"notify","(String,int,Notification)","","Argument[2]","pending-intents","manual"
"android.app","NotificationManager",true,"notify","(int,Notification)","","Argument[1]","pending-intents","manual"
"android.app","NotificationManager",true,"notifyAsPackage","(String,String,int,Notification)","","Argument[3]","pending-intents","manual"
"android.app","NotificationManager",true,"notifyAsUser","(String,int,Notification,UserHandle)","","Argument[2]","pending-intents","manual"
"android.app","PendingIntent",false,"send","(Context,int,Intent)","","Argument[2]","pending-intents","manual"
"android.app","PendingIntent",false,"send","(Context,int,Intent,PendingIntent$OnFinished,Handler)","","Argument[2]","pending-intents","manual"
"android.app","PendingIntent",false,"send","(Context,int,Intent,PendingIntent$OnFinished,Handler,String)","","Argument[2]","pending-intents","manual"
"android.app","PendingIntent",false,"send","(Context,int,Intent,PendingIntent$OnFinished,Handler,String,Bundle)","","Argument[2]","pending-intents","manual"
"android.content","ContentProvider",true,"delete","(Uri,String,String[])","","Argument[1]","sql-injection","manual"
"android.content","ContentProvider",true,"query","(Uri,String[],String,String[],String)","","Argument[2]","sql-injection","manual"
"android.content","ContentProvider",true,"query","(Uri,String[],String,String[],String,CancellationSignal)","","Argument[2]","sql-injection","manual"
"android.content","ContentProvider",true,"update","(Uri,ContentValues,String,String[])","","Argument[2]","sql-injection","manual"
"android.content","ContentResolver",true,"delete","(Uri,String,String[])","","Argument[1]","sql-injection","manual"
"android.content","ContentResolver",true,"query","(Uri,String[],String,String[],String)","","Argument[2]","sql-injection","manual"
"android.content","ContentResolver",true,"query","(Uri,String[],String,String[],String,CancellationSignal)","","Argument[2]","sql-injection","manual"
"android.content","ContentResolver",true,"update","(Uri,ContentValues,String,String[])","","Argument[2]","sql-injection","manual"
"android.content","Context",true,"sendBroadcast","","","Argument[0]","intent-redirection","manual"
"android.content","Context",true,"sendBroadcastAsUser","","","Argument[0]","intent-redirection","manual"
"android.content","Context",true,"sendBroadcastWithMultiplePermissions","","","Argument[0]","intent-redirection","manual"
"android.content","Context",true,"sendStickyBroadcast","","","Argument[0]","intent-redirection","manual"
"android.content","Context",true,"sendStickyBroadcastAsUser","","","Argument[0]","intent-redirection","manual"
"android.content","Context",true,"sendStickyOrderedBroadcast","","","Argument[0]","intent-redirection","manual"
"android.content","Context",true,"sendStickyOrderedBroadcastAsUser","","","Argument[0]","intent-redirection","manual"
"android.content","Context",true,"startActivities","","","Argument[0]","intent-redirection","manual"
"android.content","Context",true,"startActivity","","","Argument[0]","intent-redirection","manual"
"android.content","Context",true,"startActivityAsUser","","","Argument[0]","intent-redirection","manual"
"android.content","Context",true,"startActivityFromChild","","","Argument[1]","intent-redirection","manual"
"android.content","Context",true,"startActivityFromFragment","","","Argument[1]","intent-redirection","manual"
"android.content","Context",true,"startActivityIfNeeded","","","Argument[0]","intent-redirection","manual"
"android.content","Context",true,"startForegroundService","","","Argument[0]","intent-redirection","manual"
"android.content","Context",true,"startService","","","Argument[0]","intent-redirection","manual"
"android.content","Context",true,"startServiceAsUser","","","Argument[0]","intent-redirection","manual"
"android.database","DatabaseUtils",false,"blobFileDescriptorForQuery","(SQLiteDatabase,String,String[])","","Argument[1]","sql-injection","manual"
"android.database","DatabaseUtils",false,"createDbFromSqlStatements","(Context,String,int,String)","","Argument[3]","sql-injection","manual"
"android.database","DatabaseUtils",false,"longForQuery","(SQLiteDatabase,String,String[])","","Argument[1]","sql-injection","manual"
"android.database","DatabaseUtils",false,"queryNumEntries","(SQLiteDatabase,String)","","Argument[1]","sql-injection","manual"
"android.database","DatabaseUtils",false,"queryNumEntries","(SQLiteDatabase,String,String)","","Argument[1..2]","sql-injection","manual"
"android.database","DatabaseUtils",false,"queryNumEntries","(SQLiteDatabase,String,String,String[])","","Argument[1..2]","sql-injection","manual"
"android.database","DatabaseUtils",false,"stringForQuery","(SQLiteDatabase,String,String[])","","Argument[1]","sql-injection","manual"
"android.database.sqlite","SQLiteDatabase",false,"compileStatement","(String)","","Argument[0]","sql-injection","manual"
"android.database.sqlite","SQLiteDatabase",false,"delete","(String,String,String[])","","Argument[0..1]","sql-injection","manual"
"android.database.sqlite","SQLiteDatabase",false,"execPerConnectionSQL","(String,Object[])","","Argument[0]","sql-injection","manual"
"android.database.sqlite","SQLiteDatabase",false,"execSQL","(String)","","Argument[0]","sql-injection","manual"
"android.database.sqlite","SQLiteDatabase",false,"execSQL","(String,Object[])","","Argument[0]","sql-injection","manual"
"android.database.sqlite","SQLiteDatabase",false,"query","(String,String[],String,String[],String,String,String)","","Argument[0..2]","sql-injection","manual"
"android.database.sqlite","SQLiteDatabase",false,"query","(String,String[],String,String[],String,String,String)","","Argument[4..6]","sql-injection","manual"
"android.database.sqlite","SQLiteDatabase",false,"query","(String,String[],String,String[],String,String,String,String)","","Argument[0]","sql-injection","manual"
"android.database.sqlite","SQLiteDatabase",false,"query","(String,String[],String,String[],String,String,String,String)","","Argument[1]","sql-injection","manual"
